time_published,overall_sentiment_score,overall_sentiment_label
3/1/2022,-0.138797,Neutral
3/2/2022,-0.03628983333,Neutral
3/3/2022,-0.02205609091,Neutral
3/4/2022,-0.0762801,Neutral
3/5/2022,-0.0629506,Neutral
3/6/2022,0.002238857143,Somewhat-Bullish
4/1/2022,-0.0168458785,Neutral
4/2/2022,-0.01976629032,Neutral
4/3/2022,-0.019462,Neutral
4/4/2022,-0.01518957143,Neutral
5/1/2022,-0.05715943478,Neutral
5/2/2022,-0.06525376596,Somewhat-Bearish
5/3/2022,-0.03879725,Neutral
5/4/2022,-0.059695,Neutral
6/1/2022,-0.05977227027,Neutral
6/2/2022,-0.06532153488,Somewhat-Bearish
6/3/2022,-0.0940517561,Somewhat-Bearish
7/1/2022,-0.1034647946,Somewhat-Bearish
7/2/2022,-0.07888067857,Somewhat-Bearish
7/3/2022,-0.1107338571,Somewhat-Bearish
7/4/2022,-0.09541885714,Somewhat-Bearish
7/5/2022,-0.0396358,Neutral